sale_id,product_id,warehouse_id,sale_date,quantity_sold,revenue
5001,1,4,2024-12-10,15,104.85
5002,1,2,2024-12-10,10,69.9
5003,2,1,2024-12-10,29,130.21
5004,3,3,2024-12-10,19,246.81
5005,3,2,2024-12-10,14,181.86
5006,4,1,2024-12-10,16,95.84
5007,5,2,2024-12-10,18,161.82
5008,6,2,2024-12-10,19,123.31
5009,7,1,2024-12-10,18,89.82
5010,7,4,2024-12-10,18,89.82
5011,8,1,2024-12-10,27,256.23
5012,9,1,2024-12-10,7,27.93
5013,10,3,2024-12-10,5,42.45
5014,10,2,2024-12-10,3,25.47
5015,10,4,2024-12-10,3,25.47
5016,11,3,2024-12-10,12,29.88
5017,12,2,2024-12-10,4,7.96
5018,12,4,2024-12-10,3,5.97
5019,13,4,2024-12-10,11,76.89
5020,14,1,2024-12-10,5,22.45
5021,14,2,2024-12-10,4,17.96
5022,15,1,2024-12-10,12,71.88
5023,16,2,2024-12-10,11,38.39
5024,22,4,2024-12-10,2,10.98
5025,23,1,2024-12-10,9,80.91
5026,23,4,2024-12-10,4,35.96
5027,23,2,2024-12-10,6,53.94
5028,1,4,2024-12-11,5,34.95
5029,1,2,2024-12-11,10,69.9
5030,2,1,2024-12-11,13,58.37
5031,2,2,2024-12-11,10,44.9
5032,3,4,2024-12-11,8,103.92
5033,3,2,2024-12-11,7,90.93
5034,3,3,2024-12-11,4,51.96
5035,4,1,2024-12-11,19,113.81
5036,5,4,2024-12-11,30,269.7
5037,6,1,2024-12-11,9,58.41
5038,6,2,2024-12-11,10,64.9
5039,7,1,2024-12-11,18,89.82
5040,7,4,2024-12-11,7,34.93
5041,7,2,2024-12-11,6,29.94
5042,8,1,2024-12-11,10,94.9
5043,8,4,2024-12-11,9,85.41
5044,9,2,2024-12-11,9,35.91
5045,11,1,2024-12-11,5,12.45
5046,12,4,2024-12-11,5,9.95
5047,12,2,2024-12-11,5,9.95
5048,13,2,2024-12-11,16,111.84
5049,14,1,2024-12-11,7,31.43
5050,15,3,2024-12-11,15,89.85
5051,16,1,2024-12-11,6,20.94
5052,17,1,2024-12-11,1,11.99
5053,19,4,2024-12-11,4,29.96
5054,20,3,2024-12-11,2,13.98
5055,20,1,2024-12-11,2,13.98
5056,1,4,2024-12-12,28,195.72
5057,2,2,2024-12-12,26,116.74
5058,3,3,2024-12-12,7,90.93
5059,3,4,2024-12-12,4,51.96
5060,3,2,2024-12-12,4,51.96
5061,4,2,2024-12-12,23,137.77
5062,5,4,2024-12-12,19,170.81
5063,6,1,2024-12-12,15,97.35
5064,7,4,2024-12-12,13,64.87
5065,7,2,2024-12-12,9,44.91
5066,8,4,2024-12-12,26,246.74
5067,9,2,2024-12-12,13,51.87
5068,10,2,2024-12-12,9,76.41
5069,11,1,2024-12-12,10,24.9
5070,12,2,2024-12-12,3,5.97
5071,12,4,2024-12-12,5,9.95
5072,13,2,2024-12-12,13,90.87
5073,14,2,2024-12-12,14,62.86
5074,15,1,2024-12-12,5,29.95
5075,15,3,2024-12-12,3,17.97
5076,16,1,2024-12-12,3,10.47
5077,16,2,2024-12-12,4,13.96
5078,19,4,2024-12-12,4,29.96
5079,20,3,2024-12-12,2,13.98
5080,21,2,2024-12-12,2,7.98
5081,24,4,2024-12-12,29,362.21
5082,25,2,2024-12-12,10,99.9
5083,25,3,2024-12-12,5,49.95
5084,25,4,2024-12-12,10,99.9
5085,1,2,2024-12-13,28,195.72
5086,2,4,2024-12-13,15,67.35
5087,3,3,2024-12-13,16,207.84
5088,4,1,2024-12-13,22,131.78
5089,5,4,2024-12-13,15,134.85
5090,5,2,2024-12-13,12,107.88
5091,6,2,2024-12-13,19,123.31
5092,7,4,2024-12-13,14,69.86
5093,8,4,2024-12-13,12,113.88
5094,8,1,2024-12-13,11,104.39
5095,9,2,2024-12-13,13,51.87
5096,10,2,2024-12-13,2,16.98
5097,10,3,2024-12-13,1,8.49
5098,10,4,2024-12-13,3,25.47
5099,12,4,2024-12-13,10,19.9
5100,13,2,2024-12-13,3,20.97
5101,13,4,2024-12-13,3,20.97
5102,14,1,2024-12-13,8,35.92
5103,15,2,2024-12-13,11,65.89
5104,16,2,2024-12-13,7,24.43
5105,17,1,2024-12-13,4,47.96
5106,18,2,2024-12-13,2,9.98
5107,18,1,2024-12-13,2,9.98
5108,25,2,2024-12-13,9,89.91
5109,25,4,2024-12-13,4,39.96
5110,25,3,2024-12-13,3,29.97
5111,1,2,2024-12-14,47,328.53
5112,2,1,2024-12-14,33,148.17
5113,3,2,2024-12-14,9,116.91
5114,3,3,2024-12-14,6,77.94
5115,3,4,2024-12-14,8,103.92
5116,4,2,2024-12-14,31,185.69
5117,5,4,2024-12-14,29,260.71
5118,6,2,2024-12-14,30,194.7
5119,7,2,2024-12-14,32,159.68
5120,8,4,2024-12-14,39,370.11
5121,9,2,2024-12-14,13,51.87
5122,10,3,2024-12-14,14,118.86
5123,11,1,2024-12-14,11,27.39
5124,12,2,2024-12-14,8,15.92
5125,13,4,2024-12-14,13,90.87
5126,13,2,2024-12-14,11,76.89
5127,14,1,2024-12-14,17,76.33
5128,15,3,2024-12-14,3,17.97
5129,15,2,2024-12-14,1,5.99
5130,15,1,2024-12-14,2,11.98
5131,16,1,2024-12-14,5,17.45
5132,16,2,2024-12-14,7,24.43
5133,18,1,2024-12-14,5,24.95
5134,19,3,2024-12-14,4,29.96
5135,20,1,2024-12-14,3,20.97
5136,21,2,2024-12-14,2,7.98
5137,21,3,2024-12-14,1,3.99
5138,23,1,2024-12-14,19,170.81
5139,23,2,2024-12-14,11,98.89
5140,23,4,2024-12-14,14,125.86
5141,1,1,2024-12-15,17,118.83
5142,1,4,2024-12-15,7,48.93
5143,1,2,2024-12-15,8,55.92
5144,2,4,2024-12-15,19,85.31
5145,2,1,2024-12-15,5,22.45
5146,2,2,2024-12-15,6,26.94
5147,3,3,2024-12-15,21,272.79
5148,3,4,2024-12-15,12,155.88
5149,4,2,2024-12-15,32,191.68
5150,5,4,2024-12-15,21,188.79
5151,5,2,2024-12-15,12,107.88
5152,6,1,2024-12-15,30,194.7
5153,7,2,2024-12-15,29,144.71
5154,8,1,2024-12-15,33,313.17
5155,9,2,2024-12-15,21,83.79
5156,10,3,2024-12-15,7,59.43
5157,10,2,2024-12-15,4,33.96
5158,11,3,2024-12-15,9,22.41
5159,12,4,2024-12-15,20,39.8
5160,13,2,2024-12-15,14,97.86
5161,13,4,2024-12-15,8,55.92
5162,15,1,2024-12-15,8,47.92
5163,16,1,2024-12-15,16,55.84
5164,17,1,2024-12-15,5,59.95
5165,18,2,2024-12-15,7,34.93
5166,23,4,2024-12-15,5,44.95
5167,1,1,2024-12-16,43,300.57
5168,2,1,2024-12-16,23,103.27
5169,2,4,2024-12-16,6,26.94
5170,2,2,2024-12-16,8,35.92
5171,3,2,2024-12-16,43,558.57
5172,4,1,2024-12-16,44,263.56
5173,5,2,2024-12-16,66,593.34
5174,6,1,2024-12-16,91,590.59
5175,7,4,2024-12-16,16,79.84
5176,7,2,2024-12-16,15,74.85
5177,7,1,2024-12-16,9,44.91
5178,8,1,2024-12-16,16,151.84
5179,8,4,2024-12-16,19,180.31
5180,9,1,2024-12-16,19,75.81
5181,10,3,2024-12-16,25,212.25
5182,11,3,2024-12-16,11,27.39
5183,11,1,2024-12-16,12,29.88
5184,12,2,2024-12-16,29,57.71
5185,13,4,2024-12-16,10,69.9
5186,14,2,2024-12-16,15,67.35
5187,14,1,2024-12-16,10,44.9
5188,15,3,2024-12-16,12,71.88
5189,16,1,2024-12-16,22,76.78
5190,17,1,2024-12-16,8,95.92
5191,18,1,2024-12-16,3,14.97
5192,18,2,2024-12-16,1,4.99
5193,19,3,2024-12-16,6,44.94
5194,19,4,2024-12-16,6,44.94
5195,20,3,2024-12-16,9,62.91
5196,21,3,2024-12-16,1,3.99
5197,21,2,2024-12-16,1,3.99
5198,22,2,2024-12-16,10,54.9
5199,23,1,2024-12-16,38,341.62
5200,24,1,2024-12-16,3,37.47
5201,25,4,2024-12-16,4,39.96
5202,1,4,2024-12-17,18,125.82
5203,1,2,2024-12-17,5,34.95
5204,1,1,2024-12-17,4,27.96
5205,2,4,2024-12-17,20,89.8
5206,3,3,2024-12-17,16,207.84
5207,4,2,2024-12-17,13,77.87
5208,4,1,2024-12-17,13,77.87
5209,5,2,2024-12-17,13,116.87
